PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
1642262,Cody Williams,1610612762,UTA,21.0,10,3,7,13.8,2.5,1.0,0.6,0.3,0.2,0.4,0.324,0.118,0.333
1641732,Colby Jones,1610612765,DET,23.0,1,0,1,6.8,2.0,4.0,2.0,0.0,0.0,0.0,0.333,0.0,0.0
1630175,Cole Anthony,1610612749,MIL,25.0,16,8,8,19.3,8.3,3.3,5.1,0.7,0.4,2.4,0.412,0.293,0.533
1631221,Collin Gillespie,1610612756,PHX,26.0,16,10,6,25.0,11.1,4.3,5.1,1.1,0.4,1.6,0.414,0.404,0.818
1642867,Collin Murray-Boyles,1610612761,TOR,20.0,11,7,4,20.0,8.5,3.5,1.2,0.7,0.5,1.1,0.5,0.5,0.762
1629012,Collin Sexton,1610612766,CHA,26.0,15,4,11,26.0,15.4,2.3,4.7,0.7,0.0,2.7,0.466,0.396,0.866
1642843,Cooper Flagg,1610612742,DAL,18.0,17,5,12,33.6,16.1,6.4,3.1,1.3,0.7,2.1,0.457,0.277,0.786
1630557,Corey Kispert,1610612764,WAS,26.0,16,1,15,19.6,8.3,2.4,1.8,0.3,0.1,0.7,0.5,0.39,0.75
1641854,Craig Porter Jr.,1610612739,CLE,25.0,17,11,6,17.4,5.8,2.9,2.5,1.0,0.6,0.8,0.533,0.448,0.5
1626156,D'Angelo Russell,1610612742,DAL,29.0,16,4,12,22.2,12.6,2.9,5.0,0.6,0.1,2.4,0.399,0.256,0.696
1641747,DaRon Holmes II,1610612743,DEN,23.0,2,2,0,2.2,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1631342,Daeqwon Plowden,1610612758,SAC,27.0,1,0,1,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1631207,Dalen Terry,1610612741,CHI,23.0,10,5,5,8.9,2.3,1.3,1.5,0.4,0.3,0.4,0.45,0.286,0.429
1642261,Dalton Knecht,1610612747,LAL,24.0,14,11,3,17.8,7.1,2.2,0.6,0.5,0.4,0.6,0.464,0.326,0.667
1629655,Daniel Gafford,1610612742,DAL,27.0,12,3,9,23.6,9.7,6.3,1.6,0.9,1.6,1.3,0.629,0.0,0.778
1642450,Daniss Jenkins,1610612765,DET,24.0,11,10,1,21.1,11.4,2.0,4.3,1.5,0.0,1.7,0.51,0.467,0.688
1642874,Danny Wolf,1610612751,BKN,21.0,3,0,3,2.6,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.0
203967,Dario Šarić,1610612758,SAC,31.0,3,1,2,9.2,1.7,1.7,0.7,0.0,0.0,0.3,0.2,0.5,1.0
1629636,Darius Garland,1610612739,CLE,25.0,4,3,1,25.0,14.8,2.8,5.5,0.8,0.0,2.3,0.354,0.435,1.0
1642357,David Jones Garcia,1610612759,SAS,23.0,5,4,1,7.2,4.6,1.8,2.4,0.6,0.2,0.2,0.667,1.0,0.4
1630558,Davion Mitchell,1610612748,MIA,27.0,16,10,6,29.9,10.6,2.6,7.3,1.3,0.1,1.6,0.519,0.383,0.577
